bug_id,rank
2,"[8, 9]"
8,[1]
10,"[56, 62, 163]"
18,"[23, 39, 47]"
19,[2]
44,[6]
45,[96]
53,[2]
54,[42]
71,[5]
76,"[4, 6]"
92,[1]
101,"[17, 38]"
106,"[65, 96]"
110,[8]
117,[39]
128,"[2, 15, 32]"
129,[9]
130,[8]
135,"[12, 31]"
158,"[2, 13]"
160,[10]
162,[2]
168,[]
191,[2]
192,[22]
198,"[2, 4, 6]"
199,[9]
200,[2]
201,[3]
206,[39]
209,[4]
248,[140]
256,[21]
1073,[10]
1096,[4]
1146,[1]
1147,[1]
1150,[20]
1151,"[2, 4]"
1198,[2]
1202,[1]
1205,"[2, 3, 5, 8, 16, 17, 18, 23]"
1207,[7]
1214,[7]
1215,[4]
1223,[4]
1224,[1]
1226,[]
1228,[8]
1299,[6]
1389,"[3, 7, 11]"
1399,[16]
1406,[15]
1425,"[4, 23]"
1430,"[2, 3]"
1441,[1]
1445,[13]
1446,[1]
1481,[1]
1563,[1]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
