bug_id,rank
2,[]
8,[7]
10,[]
18,[1]
19,[1]
44,[]
45,[17]
53,[6]
54,[]
71,[]
76,[5]
92,[]
101,[3]
106,[]
110,[]
117,[7]
128,[1]
129,[2]
130,[1]
135,[5]
158,[]
160,[1]
162,[1]
168,[]
191,[]
192,[2]
198,[1]
199,[4]
200,[3]
201,[1]
206,[14]
209,[]
248,[]
256,[7]
1073,[]
1096,[1]
1146,[1]
1147,[1]
1150,[3]
1151,"[1, 3]"
1198,[]
1202,[1]
1205,"[1, 2, 3, 4, 5, 6, 8, 9]"
1207,[2]
1214,[]
1215,[1]
1223,[2]
1224,[1]
1226,[]
1228,[5]
1299,[3]
1389,[]
1399,[1]
1406,[1]
1425,[]
1430,[3]
1441,[]
1445,[]
1446,[]
1481,[2]
1563,[3]
1568,[1]
1641,"[1, 3, 5]"
1645,[]
