bug_id,rank
256,[]
45,[]
117,[]
128,"[2, 16]"
18,"[42, 55]"
110,[8]
1406,[]
1096,[]
1430,[1]
1202,[]
1205,[]
44,[7]
2,"[10, 11]"
10,"[69, 70, 127]"
19,[]
129,[]
1425,"[3, 15]"
92,[2]
158,"[1, 26]"
160,[]
135,[9]
1645,[1]
192,[]
1226,[]
1446,[1]
1228,[]
168,[]
1441,[1]
1150,[]
1399,[]
1151,[]
1568,[]
1389,"[1, 8, 11]"
201,[]
206,[]
1146,[]
1147,[]
200,[]
209,[3]
1207,[]
1299,[]
8,[]
71,[3]
76,[5]
199,[]
1215,[]
54,[41]
1223,[]
1481,[]
1224,[]
53,[]
130,[]
1073,[29]
101,[24]
106,"[62, 86]"
191,[2]
1641,[]
162,[]
1214,[5]
1445,[33]
198,"[3, 5]"
1563,[]
1198,[2]
248,[110]
