bug_id,rank
2,"[9, 10]"
8,[]
10,"[94, 97, 160]"
18,"[35, 53]"
19,[]
44,[5]
45,[94]
53,[]
54,[39]
71,[3]
76,"[5, 7]"
92,[1]
101,[41]
106,"[70, 96]"
110,[8]
117,[]
128,"[2, 14]"
129,[11]
130,[]
135,[10]
158,"[2, 24]"
160,[10]
162,[]
168,[]
191,[2]
192,[]
198,"[3, 4, 6]"
199,[]
200,[]
201,[]
206,[]
209,[5]
248,[145]
256,[]
1073,[29]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[2, 4, 8, 13, 15, 16]"
1207,[7]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[1, 6, 10]"
1399,[]
1406,[]
1425,"[3, 24]"
1430,[2]
1441,[1]
1445,[21]
1446,[1]
1481,[]
1563,[]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
