bug_id,rank
2,"[7, 9]"
8,[]
10,"[13, 19, 134]"
18,"[32, 37]"
19,[]
44,[4]
45,[89]
53,[]
54,[36]
71,[4]
76,"[4, 6]"
92,[1]
101,[30]
106,"[62, 93]"
110,[8]
117,[]
128,"[2, 16]"
129,[8]
130,[]
135,[12]
158,"[1, 5]"
160,[10]
162,[]
168,[]
191,[1]
192,[]
198,"[2, 4, 5]"
199,[]
200,[]
201,[]
206,[]
209,[1]
248,[135]
256,[]
1073,[7]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[1, 2, 5, 13, 16, 23]"
1207,[6]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[2, 7, 9]"
1399,[]
1406,[]
1425,"[5, 21]"
1430,[2]
1441,[1]
1445,[11]
1446,[1]
1481,[]
1563,[]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
