bug_id,rank
2,"[22, 23]"
8,[21]
10,"[153, 156, 158]"
18,"[1, 38, 63]"
19,[1]
44,[72]
45,[117]
53,[8]
54,[44]
71,[15]
76,"[40, 42]"
92,[95]
101,"[5, 27]"
106,"[57, 92]"
117,[21]
128,"[8, 9, 36]"
129,[7]
130,[1]
135,"[13, 20]"
158,"[13, 151]"
160,[2]
162,[1]
168,[]
191,[6]
192,[4]
198,"[1, 5, 9]"
199,[19]
200,[4]
201,[10]
206,[37]
209,[9]
248,[109]
256,[7]
1073,[106]
1096,[4]
1146,[2]
1147,[1]
1150,[17]
1151,"[4, 8]"
1198,[3]
1202,[1]
1205,"[4, 7, 14, 15, 16, 22, 23, 24]"
1207,[7]
1214,[8]
1215,[1]
1223,[2]
1224,[1]
1226,[]
1228,[7]
1299,[14]
1389,"[2, 12, 16]"
1399,[31]
1406,[4]
1425,"[7, 19]"
1430,"[1, 3]"
1441,[12]
1445,[69]
1446,[26]
1481,[2]
1563,[6]
1568,[6]
1641,"[2, 5, 8]"
1645,[10]
