bug_id,rank
2,"[17, 18]"
8,[]
10,"[75, 92, 248]"
18,"[31, 55]"
19,[]
44,[5]
45,[131]
53,[]
54,[65]
71,[3]
76,"[5, 6]"
92,[1]
101,[60]
106,"[86, 142]"
110,[15]
117,[]
128,"[5, 22]"
129,[13]
130,[]
135,"[14, 33, 34]"
158,"[2, 7]"
160,[10]
162,[]
168,[42]
191,"[14, 26]"
192,[]
198,"[3, 6, 7]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[199]
256,[]
1073,[9]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[2, 3, 6, 15, 16, 20]"
1207,[9]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[75]
1228,[]
1299,[]
1389,"[2, 4, 10]"
1399,[]
1406,[]
1425,"[6, 26]"
1430,[2]
1441,[1]
1445,[21]
1446,[1]
1481,[]
1563,[]
1568,[4]
1641,"[3, 9, 10, 21, 37]"
1645,[1]
