bug_id,rank
2,"[9, 10]"
8,[1]
10,"[96, 98, 163]"
18,"[17, 39, 58]"
19,[2]
44,[8]
45,[96]
53,[4]
54,[42]
71,[4]
76,"[5, 7]"
92,[1]
101,"[14, 46]"
106,"[71, 97]"
110,[8]
117,[29]
128,"[2, 14, 32]"
129,[11]
130,[5]
135,"[13, 24]"
158,"[2, 28]"
160,[10]
162,[1]
168,[]
191,[2]
192,[7]
198,"[3, 4, 6]"
199,[11]
200,[3]
201,[6]
206,[37]
209,[6]
248,[146]
256,[8]
1073,[29]
1096,[3]
1146,[1]
1147,[1]
1150,[20]
1151,"[3, 4]"
1198,[2]
1202,[1]
1205,"[2, 4, 5, 9, 14, 17, 18, 19]"
1207,[7]
1214,[7]
1215,[4]
1223,[2]
1224,[1]
1226,[]
1228,[6]
1299,[8]
1389,"[3, 6, 12]"
1399,[19]
1406,[9]
1425,"[4, 25]"
1430,"[2, 3]"
1441,[1]
1445,[22]
1446,[1]
1481,[1]
1563,[1]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
