bug_id,rank
2,[]
8,[3]
10,[]
18,[2]
19,[2]
44,[]
45,[14]
53,[2]
54,[]
71,[]
76,[2]
92,[]
101,[3]
106,[]
110,[]
117,[6]
128,[1]
129,[2]
130,[1]
135,[5]
158,[]
160,[3]
162,[1]
168,[]
191,[]
192,[19]
198,[1]
199,[3]
200,[2]
201,[1]
206,[9]
209,[]
248,[]
256,[14]
1073,[]
1096,[1]
1146,[1]
1147,[1]
1150,[3]
1151,"[1, 2]"
1198,[]
1202,[1]
1205,"[1, 2, 3, 4, 5, 6, 7, 9]"
1207,[2]
1214,[]
1215,[1]
1223,[4]
1224,[1]
1226,[]
1228,[6]
1299,[2]
1389,[]
1399,[1]
1406,[2]
1425,[]
1430,[1]
1441,[]
1445,[]
1446,[]
1481,[1]
1563,[1]
1568,[1]
1641,"[1, 2, 5]"
1645,[]
