bug_id,rank
256,[14]
45,[14]
117,[6]
128,[1]
18,[2]
110,[]
1406,[2]
1096,[1]
1430,[1]
1202,[1]
1205,"[1, 2, 3, 4, 5, 6, 7, 9]"
44,[]
2,[]
10,[]
19,[2]
129,[2]
1425,[]
92,[]
158,[]
160,[3]
135,[5]
1645,[]
192,[19]
1226,[]
1446,[]
1228,[6]
168,[]
1441,[]
1150,[3]
1399,[1]
1151,"[1, 2]"
1568,[1]
1389,[]
201,[1]
206,[9]
1146,[1]
1147,[1]
200,[2]
209,[]
1207,[2]
1299,[2]
8,[3]
71,[]
76,[2]
199,[3]
1215,[1]
54,[]
1223,[4]
1481,[1]
1224,[1]
53,[2]
130,[1]
1073,[]
101,[3]
106,[]
191,[]
1641,"[1, 2, 5]"
162,[1]
1214,[]
1445,[]
198,[1]
1563,[1]
1198,[]
248,[]
