bug_id,rank
2,"[7, 9]"
8,[]
10,"[71, 82, 160]"
18,"[33, 50]"
19,[]
44,[5]
45,[94]
53,[]
54,[39]
71,[3]
76,"[5, 6]"
92,[1]
101,[35]
106,"[67, 96]"
110,[8]
117,[]
128,"[2, 16]"
129,[11]
130,[]
135,[10]
158,"[2, 16]"
160,[10]
162,[]
168,[]
191,[2]
192,[]
198,"[2, 4, 6]"
199,[]
200,[]
201,[]
206,[]
209,[3]
248,[142]
256,[]
1073,[14]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[2, 3, 7, 13, 15, 17]"
1207,[6]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[2, 3, 10]"
1399,[]
1406,[]
1425,"[3, 23]"
1430,[2]
1441,[1]
1445,[20]
1446,[1]
1481,[]
1563,[]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
