bug_id,rank
2,"[9, 10]"
8,[]
10,"[57, 65, 127]"
18,"[40, 52]"
19,[]
44,[6]
45,[]
53,[]
54,[41]
71,[3]
76,[4]
92,[2]
101,[28]
106,"[59, 86]"
110,[8]
117,[]
128,"[2, 18]"
129,[]
130,[]
135,[9]
158,"[1, 19]"
160,[]
162,[]
168,[]
191,[2]
192,[]
198,"[3, 5]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[108]
256,[]
1073,[14]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[6]
1215,[]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[1, 7, 11]"
1399,[]
1406,[]
1425,"[3, 16]"
1430,[2]
1441,[1]
1445,[26]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,[]
1645,[1]
