bug_id,rank
2,"[17, 19]"
8,[]
10,"[105, 125, 248]"
18,"[34, 66]"
19,[]
44,[6]
45,[131]
53,[]
54,[65]
71,[3]
76,"[5, 7]"
92,[1]
101,[71]
106,"[89, 144]"
110,[15]
117,[]
128,"[5, 21]"
129,[15]
130,[]
135,"[12, 29, 30]"
158,"[2, 16]"
160,[10]
162,[]
168,[42]
191,"[15, 26]"
192,[]
198,"[3, 6, 7]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[208]
256,[]
1073,[16]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[2, 3, 8, 15, 16, 18]"
1207,[9]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[92]
1228,[]
1299,[]
1389,"[2, 4, 10]"
1399,[]
1406,[]
1425,"[4, 27]"
1430,[2]
1441,[1]
1445,[28]
1446,[1]
1481,[]
1563,[]
1568,[4]
1641,"[3, 9, 10, 21, 37]"
1645,[1]
