bug_id,rank
2,"[7, 9]"
8,[1]
10,"[14, 20, 137]"
18,"[24, 35, 39]"
19,[3]
44,[5]
45,[91]
53,[2]
54,[39]
71,[6]
76,"[4, 6]"
92,[1]
101,"[22, 35]"
106,"[63, 94]"
110,[8]
117,[49]
128,"[2, 16, 32]"
129,[8]
130,[12]
135,"[15, 30]"
158,"[1, 6]"
160,[10]
162,[2]
168,[]
191,[1]
192,[48]
198,"[2, 4, 5]"
199,[8]
200,[3]
201,[3]
206,[40]
209,[1]
248,[136]
256,[32]
1073,[7]
1096,[5]
1146,[1]
1147,[1]
1150,[20]
1151,"[2, 4]"
1198,[2]
1202,[1]
1205,"[1, 2, 5, 12, 15, 19, 21, 26]"
1207,[7]
1214,[7]
1215,[4]
1223,[7]
1224,[2]
1226,[]
1228,[12]
1299,[6]
1389,"[1, 9, 11]"
1399,[15]
1406,[21]
1425,"[7, 22]"
1430,"[2, 3]"
1441,[1]
1445,[11]
1446,[1]
1481,[1]
1563,[1]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
