bug_id,rank
2,"[18, 20]"
8,[]
10,"[84, 107, 215]"
18,"[42, 69]"
19,[]
44,[8]
45,[]
53,[]
54,[67]
71,[3]
76,[5]
92,[3]
101,[44]
106,"[82, 133]"
110,[15]
117,[]
128,"[5, 23]"
129,[]
130,[]
135,"[11, 18, 24]"
158,"[2, 19]"
160,[]
162,[]
168,[52]
191,"[15, 26]"
192,[]
198,"[3, 6]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[170]
256,[]
1073,[16]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[7]
1215,[]
1223,[]
1224,[]
1226,[86]
1228,[]
1299,[]
1389,"[1, 7, 11]"
1399,[]
1406,[]
1425,"[3, 23]"
1430,[2]
1441,[1]
1445,[37]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,"[6, 31]"
1645,[1]
