bug_id,rank
2,"[38, 41]"
8,[]
10,"[182, 184, 187]"
18,"[39, 83]"
19,[]
44,[103]
45,[]
53,[]
54,[73]
71,[18]
76,[40]
92,[273]
101,[39]
106,"[80, 135]"
117,[]
128,"[9, 10]"
129,[]
130,[]
135,"[13, 16, 23]"
158,"[19, 229]"
160,[]
162,[]
168,[350]
191,"[101, 105]"
192,[]
198,"[5, 9]"
199,[]
200,[]
201,[]
206,[]
209,[14]
248,[211]
256,[]
1073,[131]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[9]
1215,[]
1223,[]
1224,[]
1226,[116]
1228,[]
1299,[]
1389,"[1, 11, 16]"
1399,[]
1406,[]
1425,"[8, 24]"
1430,[1]
1441,[9]
1445,[95]
1446,[23]
1481,[]
1563,[]
1568,[]
1641,"[5, 30]"
1645,[6]
