bug_id,rank
2,"[9, 10]"
8,[1]
10,"[76, 86, 169]"
18,"[8, 45, 55]"
19,[1]
44,[10]
45,[98]
53,[2]
54,[44]
71,[4]
76,"[5, 7]"
92,[2]
101,"[13, 32]"
106,"[70, 99]"
110,[8]
117,[32]
128,"[2, 18, 33]"
129,[8]
130,[7]
135,"[13, 21]"
158,"[3, 25]"
160,[5]
162,[1]
168,[]
191,[2]
192,[10]
198,"[3, 4, 5]"
199,[8]
200,[3]
201,[3]
206,[43]
209,[5]
248,[149]
256,[11]
1073,[16]
1096,[4]
1146,[1]
1147,[1]
1150,[20]
1151,"[3, 4]"
1198,[2]
1202,[1]
1205,"[2, 3, 7, 9, 15, 16, 20, 22]"
1207,[7]
1214,[6]
1215,[4]
1223,[2]
1224,[1]
1226,[]
1228,[8]
1299,[7]
1389,"[4, 9, 11]"
1399,[17]
1406,[8]
1425,"[4, 18]"
1430,"[2, 3]"
1441,[1]
1445,[25]
1446,[1]
1481,[1]
1563,[1]
1568,[3]
1641,"[1, 5, 14]"
1645,[1]
