bug_id,rank
2,"[8, 9]"
8,[]
10,"[42, 46, 127]"
18,"[39, 46]"
19,[]
44,[4]
45,[]
53,[]
54,[41]
71,[3]
76,[4]
92,[1]
101,[28]
106,"[56, 85]"
110,[8]
117,[]
128,"[2, 15]"
129,[]
130,[]
135,[8]
158,"[1, 9]"
160,[]
162,[]
168,[]
191,[2]
192,[]
198,"[3, 5]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[104]
256,[]
1073,[9]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[6]
1215,[]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[4, 5, 9]"
1399,[]
1406,[]
1425,"[3, 19]"
1430,[2]
1441,[1]
1445,[14]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,[]
1645,[1]
