bug_id,rank
2,"[7, 9]"
8,[]
10,"[10, 17, 109]"
18,"[32, 37]"
19,[]
44,[4]
45,[]
53,[]
54,[36]
71,[4]
76,[3]
92,[1]
101,[30]
106,"[55, 83]"
110,[8]
117,[]
128,"[2, 16]"
129,[]
130,[]
135,[11]
158,"[1, 4]"
160,[]
162,[]
168,[]
191,[1]
192,[]
198,"[2, 5]"
199,[]
200,[]
201,[]
206,[]
209,[1]
248,[99]
256,[]
1073,[7]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[7]
1215,[]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[2, 7, 9]"
1399,[]
1406,[]
1425,"[5, 20]"
1430,[2]
1441,[1]
1445,[11]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,[]
1645,[1]
