bug_id,rank
2,"[8, 9]"
8,[1]
10,"[59, 64, 169]"
18,"[15, 43, 50]"
19,[1]
44,[6]
45,[98]
53,[2]
54,[44]
71,[5]
76,"[4, 6]"
92,[1]
101,"[15, 34]"
106,"[65, 98]"
110,[8]
117,[39]
128,"[2, 15, 33]"
129,[8]
130,[8]
135,"[11, 27]"
158,"[2, 13]"
160,[9]
162,[1]
168,[]
191,[2]
192,[17]
198,"[3, 4, 5]"
199,[10]
200,[2]
201,[3]
206,[39]
209,[3]
248,[144]
256,[22]
1073,[10]
1096,[4]
1146,[1]
1147,[1]
1150,[20]
1151,"[2, 4]"
1198,[2]
1202,[1]
1205,"[2, 3, 6, 8, 16, 17, 19, 24]"
1207,[7]
1214,[6]
1215,[4]
1223,[2]
1224,[1]
1226,[]
1228,[9]
1299,[7]
1389,"[6, 8, 11]"
1399,[16]
1406,[13]
1425,"[4, 20]"
1430,"[2, 3]"
1441,[1]
1445,[13]
1446,[1]
1481,[1]
1563,[1]
1568,[3]
1641,"[1, 6, 14]"
1645,[1]
