bug_id,rank
2,"[15, 16]"
8,[]
10,"[12, 24, 208]"
18,"[33, 43]"
19,[]
44,[5]
45,[122]
53,[]
54,[55]
71,[4]
76,"[5, 7]"
92,[1]
101,[56]
106,"[84, 140]"
110,[15]
117,[]
128,"[5, 22]"
129,[12]
130,[]
135,"[19, 40, 41]"
158,"[1, 5]"
160,[10]
162,[]
168,[42]
191,"[11, 22]"
192,[]
198,"[4, 6, 7]"
199,[]
200,[]
201,[]
206,[]
209,[1]
248,[190]
256,[]
1073,[7]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[1, 2, 6, 16, 18, 25]"
1207,[8]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[45]
1228,[]
1299,[]
1389,"[2, 7, 10]"
1399,[]
1406,[]
1425,"[6, 25]"
1430,[2]
1441,[1]
1445,[17]
1446,[1]
1481,[]
1563,[]
1568,[4]
1641,"[3, 9, 10, 21, 37]"
1645,[1]
