bug_id,rank
2,"[18, 19]"
8,[]
10,"[114, 121, 215]"
18,"[39, 71]"
19,[]
44,[8]
45,[]
53,[]
54,[67]
71,[3]
76,[6]
92,[7]
101,[44]
106,"[88, 133]"
110,[15]
117,[]
128,"[5, 20]"
129,[]
130,[]
135,"[10, 18, 24]"
158,"[2, 29]"
160,[]
162,[]
168,[67]
191,"[15, 26]"
192,[]
198,"[3, 6]"
199,[]
200,[]
201,[]
206,[]
209,[3]
248,[177]
256,[]
1073,[31]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[6]
1215,[]
1223,[]
1224,[]
1226,[94]
1228,[]
1299,[]
1389,"[1, 9, 12]"
1399,[]
1406,[]
1425,"[3, 21]"
1430,[2]
1441,[1]
1445,[44]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,"[6, 31]"
1645,[1]
